id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1391477987380367361,1391374051516506114,2021-05-09 22:39:39 +03,2021-05-09,22:39:39,+0300,1313418396449505280,mohitsa93812662,Mohit Saluja,,@ianuragthakur @nsitharaman Last year MCA had brought CFSS which was not extended after 31.12.2020.The entire period of the scheme went out as Lock down. Request you to bring the scheme back for MSME/StartUps who suffered the Hardship of the Pandemic to avoid Heavy Penalties.#SecondCOVIDWave,en,[],[],[],0,0,0,['secondcovidwave'],[],https://twitter.com/MohitSa93812662/status/1391477987380367361,False,,0,,,,,,,,"[{'screen_name': 'ianuragthakur', 'name': 'Anurag Thakur', 'id': '381949397'}, {'screen_name': 'nsitharaman', 'name': 'Nirmala Sitharaman', 'id': '58243368'}]",,,,
1391464796638351361,1390755070015426560,2021-05-09 21:47:14 +03,2021-05-09,21:47:14,+0300,104267405,ivanchepurnyi,Ivan Chepurnyi,,"@Genaker1 @daim2k5 @raybogman You are again focused on lambda terms of single request = single function single container here. 45 seconds is okay for startup in ALB group which brings new pod up for  spikes as 45 seconds dont affect response latency, they affect time how fast pod joins list of healthy nodes",en,[],[],[],0,0,0,[],[],https://twitter.com/IvanChepurnyi/status/1391464796638351361,False,,0,,,,,,,,"[{'screen_name': 'Genaker1', 'name': 'Yegor Shytikov', 'id': '1179134094573064192'}, {'screen_name': 'daim2k5', 'name': 'Damian', 'id': '12565302'}, {'screen_name': 'raybogman', 'name': 'Ray Bogman', 'id': '23567485'}]",,,,
1391460137831845889,1391460137831845889,2021-05-09 21:28:43 +03,2021-05-09,21:28:43,+0300,4106551,ikirigin,Ivan Kirigin,,"Request for startup: let me auth my email, you parse all of it, then expose a queriable interface.  I'd love to do advanced analytics, and then make inbox logic to leverage this.  For example: if I reply within X minutes, is there a difference in downstream behavior?",en,[],[],[],2,0,3,[],[],https://twitter.com/ikirigin/status/1391460137831845889,False,,0,,,,,,,,[],,,,
1391455848413601792,1391344568465952770,2021-05-09 21:11:40 +03,2021-05-09,21:11:40,+0300,1313418396449505280,mohitsa93812662,Mohit Saluja,,@nsitharaman @ANI @PIB_India @PIBKolkata Last year MCA had brought CFSS which was not extended after 31.12.2020.The entire period of the scheme went out as Lock down. Request you to bring the scheme back for MSME/StartUps who suffered the Hardship of the Pandemic to avoid Heavy Penalties.#SecondCOVIDWave,en,[],[],[],0,0,1,['secondcovidwave'],[],https://twitter.com/MohitSa93812662/status/1391455848413601792,False,,0,,,,,,,,"[{'screen_name': 'nsitharaman', 'name': 'Nirmala Sitharaman', 'id': '58243368'}, {'screen_name': 'ANI', 'name': 'ANI', 'id': '355989081'}, {'screen_name': 'PIB_India', 'name': 'PIB India', 'id': '231033118'}, {'screen_name': 'PIBKolkata', 'name': 'PIB in West Bengal', 'id': '3305038680'}]",,,,
1391455764636528642,1391344568465952770,2021-05-09 21:11:20 +03,2021-05-09,21:11:20,+0300,1313418396449505280,mohitsa93812662,Mohit Saluja,,@nsitharaman @ANI @PIB_India @PIBKolkata Last year MCA had brought CFSS which was not extended after 31.12.2020.The entire period of the scheme went out as Lock down. Request you to bring the scheme back for MSME/StartUps who suffered the Hardship of the Pandemic to avoid Heavy Penalties.#SecondCOVIDWave,en,[],[],[],0,0,0,['secondcovidwave'],[],https://twitter.com/MohitSa93812662/status/1391455764636528642,False,,0,,,,,,,,"[{'screen_name': 'nsitharaman', 'name': 'Nirmala Sitharaman', 'id': '58243368'}, {'screen_name': 'ANI', 'name': 'ANI', 'id': '355989081'}, {'screen_name': 'PIB_India', 'name': 'PIB India', 'id': '231033118'}, {'screen_name': 'PIBKolkata', 'name': 'PIB in West Bengal', 'id': '3305038680'}]",,,,
1391455696827207683,1391344568465952770,2021-05-09 21:11:04 +03,2021-05-09,21:11:04,+0300,1313418396449505280,mohitsa93812662,Mohit Saluja,,@nsitharaman @PIB_India @PIBKolkata Last year MCA had brought CFSS which was not extended after 31.12.2020.The entire period of the scheme went out as Lock down. Request you to bring the scheme back for MSME/StartUps who suffered the Hardship of the Pandemic to avoid Heavy Penalties.#SecondCOVIDWave,en,[],[],[],0,0,0,['secondcovidwave'],[],https://twitter.com/MohitSa93812662/status/1391455696827207683,False,,0,,,,,,,,"[{'screen_name': 'nsitharaman', 'name': 'Nirmala Sitharaman', 'id': '58243368'}, {'screen_name': 'PIB_India', 'name': 'PIB India', 'id': '231033118'}, {'screen_name': 'PIBKolkata', 'name': 'PIB in West Bengal', 'id': '3305038680'}]",,,,
1391455641437237248,1391344568465952770,2021-05-09 21:10:51 +03,2021-05-09,21:10:51,+0300,1313418396449505280,mohitsa93812662,Mohit Saluja,,@nsitharaman @ANI @PIB_India @PIBKolkata Last year MCA had brought CFSS which was not extended after 31.12.2020.The entire period of the scheme went out as Lock down. Request you to bring the scheme back for MSME/StartUps who suffered the Hardship of the Pandemic to avoid Heavy Penalties.#SecondCOVIDWave,en,[],[],[],0,0,0,['secondcovidwave'],[],https://twitter.com/MohitSa93812662/status/1391455641437237248,False,,0,,,,,,,,"[{'screen_name': 'nsitharaman', 'name': 'Nirmala Sitharaman', 'id': '58243368'}, {'screen_name': 'ANI', 'name': 'ANI', 'id': '355989081'}, {'screen_name': 'PIB_India', 'name': 'PIB India', 'id': '231033118'}, {'screen_name': 'PIBKolkata', 'name': 'PIB in West Bengal', 'id': '3305038680'}]",,,,
1391455560843759616,1391344568465952770,2021-05-09 21:10:32 +03,2021-05-09,21:10:32,+0300,1313418396449505280,mohitsa93812662,Mohit Saluja,,@nsitharaman @ANI @PIB_India @PIBKolkata Last year MCA had brought CFSS which was not extended after 31.12.2020.The entire period of the scheme went out as Lock down. Request you to bring the scheme back for MSME/StartUps who suffered the Hardship of the Pandemic to avoid Heavy Penalties.#SecondCOVIDWave,en,[],[],[],0,0,0,['secondcovidwave'],[],https://twitter.com/MohitSa93812662/status/1391455560843759616,False,,0,,,,,,,,"[{'screen_name': 'nsitharaman', 'name': 'Nirmala Sitharaman', 'id': '58243368'}, {'screen_name': 'ANI', 'name': 'ANI', 'id': '355989081'}, {'screen_name': 'PIB_India', 'name': 'PIB India', 'id': '231033118'}, {'screen_name': 'PIBKolkata', 'name': 'PIB in West Bengal', 'id': '3305038680'}]",,,,
1391455525477359616,1391344568465952770,2021-05-09 21:10:23 +03,2021-05-09,21:10:23,+0300,1313418396449505280,mohitsa93812662,Mohit Saluja,,@nsitharaman @ANI @PIB_India @PIBKolkata Last year MCA had brought CFSS which was not extended after 31.12.2020.The entire period of the scheme went out as Lock down. Request you to bring the scheme back for MSME/StartUps who suffered the Hardship of the Pandemic to avoid Heavy Penalties.#SecondCOVIDWave,en,[],[],[],0,0,0,['secondcovidwave'],[],https://twitter.com/MohitSa93812662/status/1391455525477359616,False,,0,,,,,,,,"[{'screen_name': 'nsitharaman', 'name': 'Nirmala Sitharaman', 'id': '58243368'}, {'screen_name': 'ANI', 'name': 'ANI', 'id': '355989081'}, {'screen_name': 'PIB_India', 'name': 'PIB India', 'id': '231033118'}, {'screen_name': 'PIBKolkata', 'name': 'PIB in West Bengal', 'id': '3305038680'}]",,,,
1391455473870643205,1391344568465952770,2021-05-09 21:10:11 +03,2021-05-09,21:10:11,+0300,1313418396449505280,mohitsa93812662,Mohit Saluja,,@nsitharaman @ANI @PIB_India @PIBKolkata Last year MCA had brought CFSS which was not extended after 31.12.2020.The entire period of the scheme went out as Lock down. Request you to bring the scheme back for MSME/StartUps who suffered the Hardship of the Pandemic to avoid Heavy Penalties.#SecondCOVIDWave,en,[],[],[],0,0,0,['secondcovidwave'],[],https://twitter.com/MohitSa93812662/status/1391455473870643205,False,,0,,,,,,,,"[{'screen_name': 'nsitharaman', 'name': 'Nirmala Sitharaman', 'id': '58243368'}, {'screen_name': 'ANI', 'name': 'ANI', 'id': '355989081'}, {'screen_name': 'PIB_India', 'name': 'PIB India', 'id': '231033118'}, {'screen_name': 'PIBKolkata', 'name': 'PIB in West Bengal', 'id': '3305038680'}]",,,,
